time_s,node,rx_power_dbm,snr_db,snr_target_db,sf_used,sf_new,tx_power_used_dbm,tx_power_new_dbm,margin_db,frequency_hz
3.76104,0,-121.862,1.13756,-7.5,7,8,14,14,8.63756,868300000
15.3362,2,-127.452,-4.45197,-12.5,9,10,14,14,8.04803,868500000
15.6777,1,-134.094,-11.0944,-17.5,11,12,14,14,6.40559,868300000
33.8125,0,-121.862,1.13756,-10,8,8,14,8,11.1376,868500000
45.4806,2,-127.452,-4.45197,-15,10,10,14,8,10.548,868300000
63.8125,0,-127.862,-4.86244,-10,8,8,8,6,5.13756,868300000
78.4534,2,-133.452,-10.452,-15,10,10,8,6,4.54803,868100000
90.3928,1,-134.094,-11.0944,-20,12,12,14,8,8.90559,868300000
93.8125,0,-129.862,-6.86244,-10,8,8,6,4,3.13756,868100000
111.426,2,-135.452,-12.452,-15,10,10,6,4,2.54803,868500000
123.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
144.399,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868100000
153.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868500000
177.372,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
183.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
210.345,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868100000
213.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868100000
222.284,1,-140.094,-17.0944,-20,12,12,8,8,2.90559,868300000
243.317,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868300000
243.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
273.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
276.29,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
303.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
309.263,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868100000
333.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868100000
342.236,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
354.175,1,-140.094,-17.0944,-20,12,12,8,6,2.90559,868300000
363.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
375.209,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868100000
393.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868100000
408.181,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
423.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868100000
441.154,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
453.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868100000
474.127,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
483.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868300000
507.1,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868100000
513.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868500000
540.073,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
543.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868500000
573.045,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
573.812,0,-131.862,-8.86244,-10,8,8,4,4,1.13756,868500000
606.018,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
617.958,1,-142.094,-19.0944,-20,12,12,6,6,0.905587,868300000
638.991,2,-137.452,-14.452,-15,10,10,4,4,0.548033,868500000
749.849,1,-142.094,-19.0944,-20,12,12,6,6,0.905587,868500000
881.74,1,-142.094,-19.0944,-20,12,12,6,6,0.905587,868300000
